"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"yfiC","","tRNA1(Val) (adenine(37)-N6)-methyltransferase","6","6","1","1","487","","","","725","725","725","AR465_00979","M48_00526","NRS1_00393","P10_00359","R50_00393","V521_00564"
"purD","","Phosphoribosylamine--glycine ligase","6","6","1","1","3387","","","","1247","1247","1247","AR465_02261","M48_01059","NRS1_00987","P10_02570","R50_00987","V521_01105"
"btuD_4","","Vitamin B12 import ATP-binding protein BtuD","6","6","1","1","2627","","","","896","896","896","AR465_01375","M48_02021","NRS1_01947","P10_01620","R50_01947","V521_02071"
"group_3663","","hypothetical protein","6","6","1","1","1444","","","","203","203","203","AR465_01119","M48_00676","NRS1_00538","P10_00219","R50_00538","V521_00716"
"group_3664","","Putative NAD(P)H nitroreductase","6","6","1","1","170","","","","662","671","669","AR465_00315","M48_02754","NRS1_02441","P10_00997","R50_02441","V521_02793"
"group_3665","","2-dehydropantoate 2-reductase","6","6","1","1","273","","","","860","860","860","AR465_00393","M48_02856","NRS1_02517","P10_00918","R50_02517","V521_02891"
"group_3666","","hypothetical protein","6","6","1","1","2897","","","","920","920","920","AR465_00775","M48_00245","NRS1_00199","P10_00538","R50_00199","V521_00286"
"group_3667","","hypothetical protein","6","6","1","1","206","","","","191","191","191","AR465_00349","M48_02791","NRS1_02475","P10_00963","R50_02475","V521_02828"
"mnaA_1","","UDP-N-acetylglucosamine 2-epimerase","6","6","1","1","901","","","","1145","1145","1145","AR465_00662","M48_00137","NRS1_00092","P10_00650","R50_00092","V521_00180"
"secE","","Protein translocase subunit SecE","6","6","1","1","439","","","","182","182","182","AR465_01036","M48_00583","NRS1_00449","P10_00302","R50_00449","V521_00621"
"ybiV","","Sugar phosphatase YbiV","6","6","1","1","172","","","","800","800","800","AR465_00317","M48_02757","NRS1_02443","P10_00995","R50_02443","V521_02795"
"group_3671","","hypothetical protein","6","6","1","1","3102","","","","743","743","743","AR465_00092","M48_02534","NRS1_02218","P10_01217","R50_02218","V521_02574"
"group_3672","","hypothetical protein","6","6","1","1","2746","","","","629","629","629","AR465_00848","M48_00391","NRS1_00270","P10_00466","R50_00270","V521_00429"
"ybaN","","Inner membrane protein YbaN","6","6","1","1","899","","","","383","383","383","AR465_00664","M48_00139","NRS1_00094","P10_00648","R50_00094","V521_00182"
"secY_2","","Protein translocase subunit SecY","6","6","1","1","699","","","","1211","1211","1211","AR465_00447","M48_02911","NRS1_02571","P10_00864","R50_02571","V521_02945"
"group_3675","","hypothetical protein","6","6","1","1","1625","","","","530","530","530","AR465_02526","M48_00844","NRS1_00725","P10_00054","R50_00725","V521_00882"
"group_3676","","hypothetical protein","6","6","1","1","247","","","","200","200","200","AR465_00419","M48_02882","NRS1_02543","P10_00892","R50_02543","V521_02917"
"group_3677","","hypothetical protein","6","6","1","1","2823","","","","1163","1163","1163","AR465_00705","M48_00175","NRS1_00128","P10_00607","R50_00128","V521_00215"
"group_3678","","hypothetical protein","6","6","1","1","1923","","","","332","332","332","AR465_01893","M48_01431","NRS1_01371","P10_02202","R50_01371","V521_01479"
"group_3679","","hypothetical protein","6","6","1","1","3327","","","","758","758","758","AR465_02321","M48_00998","NRS1_00928","P10_02630","R50_00928","V521_01043"
"group_3680","","Protein ADP-ribosyltransferase","6","6","1","1","2772","","","","944","944","944","AR465_00822","M48_00365","NRS1_00245","P10_00491","R50_00245","V521_00403"
"gtfB","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB","6","6","1","1","693","","","","1358","1358","1358","AR465_00441","M48_02905","NRS1_02565","P10_00870","R50_02565","V521_02939"
"group_3682","","hypothetical protein","6","6","1","1","3520","","","","401","401","401","AR465_02128","M48_01189","NRS1_01118","P10_02437","R50_01118","V521_01238"
"group_3683","","hypothetical protein","6","6","1","1","2900","","","","902","902","902","AR465_00778","M48_00248","NRS1_00202","P10_00535","R50_00202","V521_00289"
"group_3684","","UDP-glucose 4-epimerase","6","6","1","1","2770","","","","1025","1025","1025","AR465_00824","M48_00367","NRS1_00247","P10_00489","R50_00247","V521_00405"
"yfcA","","putative membrane transporter protein YfcA","6","6","1","1","2036","","","","770","770","770","AR465_01629","M48_01696","NRS1_01695","P10_01873","R50_01695","V521_01747"
"aroC","","Chorismate synthase","6","6","1","1","1946","","","","1166","1166","1166","AR465_01870","M48_01454","NRS1_01394","P10_02179","R50_01394","V521_01502"
"group_3687","","hypothetical protein","6","6","1","1","734","","","","554","554","554","AR465_00478","M48_02944","NRS1_02603","P10_00833","R50_02603","V521_02977"
"tenA","","Aminopyrimidine aminohydrolase","6","6","1","1","1237","","","","689","689","689","AR465_02618","M48_02329","NRS1_02026","P10_01479","R50_02026","V521_02372"
"group_3689","","hypothetical protein","6","6","1","1","3344","","","","320","320","320","AR465_02302","M48_01017","NRS1_00947","P10_02611","R50_00947","V521_01062"
"trpD2","","Anthranilate phosphoribosyltransferase 2","6","6","1","1","3689","","","","998","998","998","AR465_01965","M48_01358","NRS1_01284","P10_02273","R50_01284","V521_01405"
"group_3691","","hypothetical protein","6","6","1","1","926","","","","1544","1544","1544","AR465_00642","M48_00117","NRS1_00072","P10_00670","R50_00072","V521_00159"
"group_3692","","hypothetical protein","6","6","1","1","2753","","","","1712","1712","1712","AR465_00841","M48_00384","NRS1_00263","P10_00473","R50_00263","V521_00422"
"ogt","","Methylated-DNA--protein-cysteine methyltransferase","6","6","1","1","197","","","","521","521","521","AR465_00340","M48_02782","NRS1_02466","P10_00972","R50_02466","V521_02819"
"rsmE","","Ribosomal RNA small subunit methyltransferase E","6","6","1","1","2166","","","","752","752","752","AR465_01760","M48_01562","NRS1_01571","P10_02003","R50_01571","V521_01611"
"group_3695","","putative protein","6","6","1","1","2839","","","","968","968","968","AR465_00723","M48_00191","NRS1_00145","P10_00590","R50_00145","V521_00231"
"group_3696","","hypothetical protein","6","6","1","1","3484","","","","188","188","188","AR465_02164","M48_01152","NRS1_01082","P10_02473","R50_01082","V521_01201"
"yabJ","","2-iminobutanoate/2-iminopropanoate deaminase","6","6","1","1","477","","","","380","380","380","AR465_00989","M48_00536","NRS1_00403","P10_00349","R50_00403","V521_00574"
"wbnH","","O-antigen biosynthesis glycosyltransferase WbnH","6","6","1","1","941","","","","1166","1166","1166","AR465_00628","M48_00103","NRS1_00058","P10_00684","R50_00058","V521_00145"
"rhaS_2","","HTH-type transcriptional activator RhaS","6","6","1","1","3101","","","","1955","1955","1955","AR465_00093","M48_02535","NRS1_02219","P10_01216","R50_02219","V521_02575"
"sdrD","","Serine-aspartate repeat-containing protein D","6","6","1","1","412","","","","4013","4217","4146","AR465_01063","M48_00610","NRS1_00476","P10_00275","R50_00476","V521_00648"
"group_3700","","hypothetical protein","6","6","1","1","153","","","","764","764","764","AR465_00300","M48_02737","NRS1_02426","P10_01012","R50_02426","V521_02776"
"menE_1","","2-succinylbenzoate--CoA ligase","6","6","1","1","399","","","","1376","1376","1376","AR465_01075","M48_00622","NRS1_00488","P10_00263","R50_00488","V521_00661"
"scmP_1","","N-acetylcysteine deacetylase","6","6","1","1","966","","","","1178","1178","1178","AR465_00602","M48_00078","NRS1_00033","P10_00710","R50_00033","V521_00121"
"COQ5","","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","6","6","1","1","2887","","","","761","761","761","AR465_00765","M48_00235","NRS1_00189","P10_00548","R50_00189","V521_00276"
"group_3704","","hypothetical protein","6","6","1","1","3650","","","","1259","1280","1276","AR465_02004","M48_01319","NRS1_01245","P10_02313","R50_01245","V521_01365"
"metXA","","Homoserine O-acetyltransferase","6","6","1","1","779","","","","968","968","968","AR465_00518","M48_00012","NRS1_02644","P10_00794","R50_02644","V521_00012"
"group_3706","","hypothetical protein","6","6","1","1","2397","","","","644","644","644","AR465_01355","M48_02042","NRS1_01431","P10_01599","R50_01431","V521_02092"
"rutD","","putative protein","6","6","1","1","1437","","","","800","800","800","AR465_01112","M48_00669","NRS1_00531","P10_00226","R50_00531","V521_00709"
"hisF","","Imidazole glycerol phosphate synthase subunit HisF","6","6","1","1","722","","","","758","758","758","AR465_00466","M48_02932","NRS1_02591","P10_00845","R50_02591","V521_02965"
"group_3709","","hypothetical protein","6","6","1","1","1638","","","","188","188","188","AR465_02516","M48_00854","NRS1_00735","P10_00044","R50_00735","V521_00892"
"group_3710","","hypothetical protein","6","6","1","1","3508","","","","194","194","194","AR465_02140","M48_01177","NRS1_01106","P10_02449","R50_01106","V521_01226"
"group_3711","","Zinc-type alcohol dehydrogenase-like protein","6","6","1","1","2982","","","","1001","1007","1005","AR465_02710","M48_02430","NRS1_02118","P10_01387","R50_02118","V521_02469"
"manP","","PTS system mannose-specific EIIBCA component","6","6","1","1","227","","","","1952","1952","1952","AR465_00435","M48_02899","NRS1_02559","P10_00876","R50_02559","V521_02933"
"group_3713","","hypothetical protein","6","6","1","1","3702","","","","344","344","344","AR465_01951","M48_01371","NRS1_01298","P10_02259","R50_01298","V521_01419"
"paiA","","Spermidine/spermine N(1)-acetyltransferase","6","6","1","1","3029","","","","515","515","515","AR465_00163","M48_02607","NRS1_02290","P10_01146","R50_02290","V521_02646"
"group_3715","","Putative esterase","6","6","1","1","3257","","","","374","374","374","AR465_02389","M48_00929","NRS1_00859","P10_02698","R50_00859","V521_00973"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","6","6","1","1","1279","","","","494","494","494","AR465_02574","M48_02286","NRS1_01983","P10_01523","R50_01983","V521_02328"
"hemY","","Protoporphyrinogen oxidase","6","6","1","1","2540","","","","1400","1400","1400","AR465_01505","M48_01822","NRS1_01811","P10_01750","R50_01811","V521_01873"
"group_3718","","D-arabitol-phosphate dehydrogenase","6","6","1","1","2866","","","","1055","1055","1055","AR465_00746","M48_00215","NRS1_00168","P10_00567","R50_00168","V521_00256"
"gcvH","","Glycine cleavage system H protein","6","6","1","1","1650","","","","380","380","380","AR465_02504","M48_00866","NRS1_00747","P10_00032","R50_00747","V521_00904"
"group_3720","","hypothetical protein","6","6","1","1","2654","","","","326","326","326","AR465_01398","M48_01998","NRS1_01918","P10_01643","R50_01918","V521_02048"
"group_3721","","hypothetical protein","6","6","1","1","2653","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","173","173","173","AR465_01397","M48_01999","NRS1_01919","P10_01642","R50_01919","V521_02049"
"cysJ","","Sulfite reductase [NADPH] flavoprotein alpha-component","6","6","1","1","253","","","","1880","1880","1880","AR465_00412","M48_02875","NRS1_02537","P10_00899","R50_02537","V521_02910"
"group_3723","","hypothetical protein","6","6","1","1","3556","","","","2606","2606","2606","AR465_02093","M48_01224","NRS1_01153","P10_02402","R50_01153","V521_01273"
"asp1","","Accessory Sec system protein Asp1","6","6","1","1","698","","","","1553","1553","1553","AR465_00446","M48_02910","NRS1_02570","P10_00865","R50_02570","V521_02944"
"group_3725","","hypothetical protein","6","6","1","1","67","","","","386","386","386","AR465_00224","M48_02668","NRS1_02350","P10_01086","R50_02350","V521_02708"
"group_3726","","hypothetical protein","6","6","1","1","2544","","","","1223","1223","1223","AR465_01501","M48_01826","NRS1_01815","P10_01746","R50_01815","V521_01877"
"wbgU","","UDP-N-acetylglucosamine 4-epimerase","6","6","1","1","943","","","","971","971","971","AR465_00626","M48_00101","NRS1_00056","P10_00686","R50_00056","V521_00143"
"group_3728","","hypothetical protein","6","6","1","1","982","","","","482","482","482","AR465_00594","M48_00074","NRS1_00022","P10_00718","R50_00022","V521_00117"
"group_3729","","hypothetical protein","6","6","1","1","199","","","","170","170","170","AR465_00342","M48_02784","NRS1_02468","P10_00970","R50_02468","V521_02821"
"group_373","","hypothetical protein","6","6","1","1","985","","","","602","602","602","AR465_00592","M48_00072","NRS1_00020","P10_00721","R50_00020","V521_00115"
"pcrB","","Heptaprenylglyceryl phosphate synthase","6","6","1","1","2658","","","","692","692","692","AR465_01402","M48_01994","NRS1_01914","P10_01647","R50_01914","V521_02044"
"fda","","Fructose-bisphosphate aldolase class 1","6","6","1","1","267","","","","890","890","890","AR465_00399","M48_02862","NRS1_02523","P10_00912","R50_02523","V521_02897"
"gltB","","Glutamate synthase [NADPH] small chain","6","6","1","1","501","","","","1463","1463","1463","AR465_00964","M48_00511","NRS1_00378","P10_00374","R50_00378","V521_00549"
"opcR","","HTH-type transcriptional repressor OpcR","6","6","1","1","260","","","","563","563","563","AR465_00406","M48_02869","NRS1_02530","P10_00905","R50_02530","V521_02904"
"ykoC","","Putative HMP/thiamine permease protein YkoC","6","6","1","1","732","","","","833","833","833","AR465_00476","M48_02942","NRS1_02601","P10_00835","R50_02601","V521_02975"
"comEC","","ComE operon protein 3","6","6","1","1","2156","","","","2201","2201","2201","AR465_01750","M48_01572","NRS1_01581","P10_01993","R50_01581","V521_01621"
"manR","","Transcriptional regulator ManR","6","6","1","1","231","","","","1874","1874","1874","AR465_00434","M48_02898","NRS1_02558","P10_00877","R50_02558","V521_02932"
"group_3737","","hypothetical protein","6","6","1","1","2934","","","","398","398","398","AR465_00800","M48_00275","NRS1_00223","P10_00513","R50_00223","V521_00317"
"aroD","","3-dehydroquinate dehydratase","6","6","1","1","1646","","","","716","716","716","AR465_02508","M48_00862","NRS1_00743","P10_00036","R50_00743","V521_00900"
"cocE","","Cocaine esterase","6","6","1","1","277","","","","1682","1682","1682","AR465_00387","M48_02852","NRS1_02511","P10_00924","R50_02511","V521_02887"
"plc","","1-phosphatidylinositol phosphodiesterase","6","6","1","1","981","","","","986","986","986","AR465_00595","M48_00075","NRS1_00023","P10_00717","R50_00023","V521_00118"
"hepT","","Heptaprenyl diphosphate synthase component 2","6","6","1","1","1949","","","","959","959","959","AR465_01867","M48_01457","NRS1_01397","P10_02176","R50_01397","V521_01505"
"carA_1","","Caffeate CoA-transferase","6","6","1","1","2850","","","","1562","1562","1562","AR465_00733","M48_00201","NRS1_00155","P10_00580","R50_00155","V521_00242"
"czcD_1","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","6","6","1","1","897","","","","959","959","959","AR465_00666","M48_00141","NRS1_00096","P10_00646","R50_00096","V521_00184"
"bioD","","ATP-dependent dethiobiotin synthetase BioD","6","6","1","1","64","","","","686","686","686","AR465_00221","M48_02665","NRS1_02347","P10_01089","R50_02347","V521_02705"
"sigB","","RNA polymerase sigma-B factor","6","6","1","1","1267","","","","770","770","770","AR465_02588","M48_02300","NRS1_01997","P10_01509","R50_01997","V521_02343"
"group_3745","","hypothetical protein","6","6","1","1","1928","","","","401","401","401","AR465_01888","M48_01436","NRS1_01376","P10_02197","R50_01376","V521_01484"
"group_3746","","hypothetical protein","6","6","1","1","3781","","","","821","821","821","AR465_00368","M48_02809","NRS1_02493","P10_00943","R50_02493","V521_02846"
"sceD","","putative transglycosylase SceD","6","6","1","1","1236","","","","695","695","695","AR465_02619","M48_02330","NRS1_02027","P10_01478","R50_02027","V521_02373"
"plsX","","Phosphate acyltransferase","6","6","1","1","3543","","","","986","986","986","AR465_02106","M48_01211","NRS1_01140","P10_02415","R50_01140","V521_01260"
"group_3749","","hypothetical protein","6","6","1","1","3080","","","","188","191","190","AR465_00114","M48_02556","NRS1_02240","P10_01195","R50_02240","V521_02596"
"iolS","","Aldo-keto reductase IolS","6","6","1","1","1424","","","","938","938","938","AR465_01100","M48_00656","NRS1_00519","P10_00238","R50_00519","V521_00696"
"group_3751","","hypothetical protein","6","6","1","1","707","","","","359","359","359","AR465_00452","M48_02917","NRS1_02577","P10_00859","R50_02577","V521_02951"
"thiI","","putative tRNA sulfurtransferase","6","6","1","1","2035","","","","1223","1223","1223","AR465_01628","M48_01697","NRS1_01696","P10_01872","R50_01696","V521_01748"
"group_3753","","hypothetical protein","6","6","1","1","2470","","","","635","635","635","AR465_01564","M48_01761","NRS1_01762","P10_01809","R50_01762","V521_01812"
"pgcA","","Phosphoglucomutase","6","6","1","1","136","","","","1637","1637","1637","AR465_00284","M48_02720","NRS1_02410","P10_01027","R50_02410","V521_02761"
"nupC_1","","Nucleoside permease NupC","6","6","1","1","2943","","","","1220","1220","1220","AR465_00809","M48_00284","NRS1_00232","P10_00504","R50_00232","V521_00326"
"dhaL","","PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL","6","6","1","1","1473","","","","584","584","584","AR465_01149","M48_00705","NRS1_00567","P10_00189","R50_00567","V521_00745"
"ptsG_1","","PTS system glucose-specific EIICBA component","6","6","1","1","874","","","","2045","2045","2045","AR465_00686","M48_00162","NRS1_00116","P10_00626","R50_00116","V521_00205"
"grsB","","Gramicidin S synthase 2","6","6","1","1","887","","","","7175","7175","7175","AR465_00676","M48_00151","NRS1_00106","P10_00636","R50_00106","V521_00194"
"group_3759","","hypothetical protein","6","6","1","1","2734","","","","191","191","191","AR465_00860","M48_00403","NRS1_00282","P10_00454","R50_00282","V521_00441"
"rhaS_1","","HTH-type transcriptional activator RhaS","6","6","1","1","979","","","","2237","2237","2237","AR465_00601","M48_00077","NRS1_00032","P10_00711","R50_00032","V521_00120"
"group_3760","","hypothetical protein","6","6","1","1","2745","","","","1133","1133","1133","AR465_00849","M48_00392","NRS1_00271","P10_00465","R50_00271","V521_00430"
"group_3761","","hypothetical protein","6","6","1","1","2245","","","","506","506","506","AR465_01841","M48_01483","NRS1_01490","P10_02084","R50_01490","V521_01532"
"tarI2","","Ribitol-5-phosphate cytidylyltransferase 2","6","6","1","1","2869","","","","716","716","716","AR465_00749","M48_00218","NRS1_00171","P10_00564","R50_00171","V521_00259"
"lipA_2","","Lipase 1","6","6","1","1","720","","","","2045","2045","2045","AR465_00464","M48_02930","NRS1_02589","P10_00847","R50_02589","V521_02963"
"gph","","Phosphoglycolate phosphatase","6","6","1","1","401","","","","647","647","647","AR465_01073","M48_00620","NRS1_00486","P10_00265","R50_00486","V521_00659"
"group_3765","","hypothetical protein","6","6","1","1","2822","","","","1433","1433","1433","AR465_00704","M48_00174","NRS1_00127","P10_00608","R50_00127","V521_00214"
"flp","","Protein flp","6","6","1","1","77","","","","1496","1496","1496","AR465_00234","M48_02678","NRS1_02360","P10_01076","R50_02360","V521_02719"
"group_3767","","hypothetical protein","6","6","1","1","3139","","","","164","164","164","AR465_00055","M48_02497","NRS1_02181","P10_01254","R50_02181","V521_02537"
"group_3768","","hypothetical protein","6","6","1","1","2480","","","","770","770","770","AR465_01553","M48_01773","NRS1_01771","P10_01798","R50_01771","V521_01824"
"pspB","","Putative phosphoserine phosphatase 2","6","6","1","1","1642","","","","581","581","581","AR465_02512","M48_00858","NRS1_00739","P10_00040","R50_00739","V521_00896"
"yfhA","","putative siderophore transport system permease protein YfhA","6","6","1","1","957","","","","998","998","998","AR465_00612","M48_00087","NRS1_00041","P10_00700","R50_00041","V521_00129"
"comFA","","ComF operon protein 1","6","6","1","1","1573","","","","1082","1082","1082","AR465_01247","M48_00804","NRS1_00666","P10_00091","R50_00666","V521_00843"
"crtM","","4,4'-diapophytoene synthase","6","6","1","1","212","","","","863","863","863","AR465_00355","M48_02797","NRS1_02481","P10_00957","R50_02481","V521_02834"
"ydbP","","Thioredoxin-like protein YdbP","6","6","1","1","1648","","","","320","320","320","AR465_02506","M48_00864","NRS1_00745","P10_00034","R50_00745","V521_00902"
"group_3775","","putative ABC transporter ATP-binding protein","6","6","1","1","3345","","","","641","641","641","AR465_02301","M48_01018","NRS1_00948","P10_02610","R50_00948","V521_01063"
"gtfA_3","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit","6","6","1","1","694","","","","1508","1508","1508","AR465_00442","M48_02906","NRS1_02566","P10_00869","R50_02566","V521_02940"
"sbnH","","2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase","6","6","1","1","947","","","","1202","1202","1202","AR465_00622","M48_00097","NRS1_00051","P10_00690","R50_00051","V521_00139"
"glcB","","PTS system glucoside-specific EIICBA component","6","6","1","1","187","","","","2066","2099","2088","AR465_00331","M48_02771","NRS1_02457","P10_00981","R50_02457","V521_02809"
"yagU","","Inner membrane protein YagU","6","6","1","1","885","","","","494","494","494","AR465_00678","M48_00153","NRS1_00108","P10_00634","R50_00108","V521_00196"
"sbnC","","Staphyloferrin B synthase","6","6","1","1","952","","","","1754","1754","1754","AR465_00617","M48_00092","NRS1_00046","P10_00695","R50_00046","V521_00134"
"group_3780","","hypothetical protein","6","6","1","1","922","","","","1175","1175","1175","AR465_00645","M48_00120","NRS1_00075","P10_00667","R50_00075","V521_00163"
"group_3781","","hypothetical protein","6","6","1","1","278","","","","587","587","587","AR465_00386","M48_02851","NRS1_02510","P10_00925","R50_02510","V521_02886"
"group_3782","","hypothetical protein","6","6","1","1","3258","","","","1154","1154","1154","AR465_02388","M48_00930","NRS1_00860","P10_02697","R50_00860","V521_00974"
"group_3783","","hypothetical protein","6","6","1","1","392","","","","380","380","380","AR465_01082","M48_00629","NRS1_00495","P10_00256","R50_00495","V521_00669"
"mhqA_3","","Putative ring-cleaving dioxygenase MhqA","6","6","1","1","166","","","","959","968","965","AR465_00311","M48_02750","NRS1_02437","P10_01001","R50_02437","V521_02789"
"hisG","","ATP phosphoribosyltransferase","6","6","1","1","728","","","","614","614","614","AR465_00472","M48_02938","NRS1_02597","P10_00839","R50_02597","V521_02971"
"yydK","","putative HTH-type transcriptional regulator YydK","6","6","1","1","2883","","","","704","704","704","AR465_00762","M48_00232","NRS1_00185","P10_00551","R50_00185","V521_00273"
"group_3787","","hypothetical protein","6","6","1","1","730","","","","1124","1124","1124","AR465_00474","M48_02940","NRS1_02599","P10_00837","R50_02599","V521_02973"
"acpS","","Holo-[acyl-carrier-protein] synthase","6","6","1","1","1260","","","","359","359","359","AR465_02595","M48_02307","NRS1_02004","P10_01502","R50_02004","V521_02350"
"group_3789","","hypothetical protein","6","6","1","1","3034","","","","455","455","455","AR465_00158","M48_02602","NRS1_02285","P10_01151","R50_02285","V521_02641"
"sbnD","","Staphyloferrin B transporter","6","6","1","1","951","","","","1172","1256","1214","AR465_00618","M48_00093","NRS1_00047","P10_00694","R50_00047","V521_00135"
"dhaM","","PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM","6","6","1","1","1474","","","","362","362","362","AR465_01150","M48_00706","NRS1_00568","P10_00188","R50_00568","V521_00746"
"sbnF","","2-[(L-alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate synthase","6","6","1","1","949","","","","1778","1778","1778","AR465_00620","M48_00095","NRS1_00049","P10_00692","R50_00049","V521_00137"
"group_381","","hypothetical protein","6","6","1","1","945","","","","626","626","626","AR465_00624","M48_00099","NRS1_00054","P10_00688","R50_00054","V521_00141"
"deoB","","Phosphopentomutase","6","6","1","1","931","","","","1142","1178","1172","AR465_00637","M48_00112","NRS1_00067","P10_00675","R50_00067","V521_00154"
"yfkN","","Trifunctional nucleotide phosphoesterase protein YfkN","6","6","1","1","925","","","","1535","1535","1535","AR465_00643","M48_00118","NRS1_00073","P10_00669","R50_00073","V521_00160"
"ywqD_1","","Tyrosine-protein kinase YwqD","6","6","1","1","919","","","","686","686","686","AR465_00648","M48_00123","NRS1_00078","P10_00664","R50_00078","V521_00166"
"aldA","","Putative aldehyde dehydrogenase AldA","6","6","1","1","898","","","","1487","1676","1518","AR465_00665","M48_00140","NRS1_00095","P10_00647","R50_00095","V521_00183"
"group_387","","Formate dehydrogenase","6","6","1","1","889","","","","1025","1175","1125","AR465_00674","M48_00149","NRS1_00104","P10_00638","R50_00104","V521_00192"
"argJ","","Arginine biosynthesis bifunctional protein ArgJ","6","6","1","1","882","","","","1241","1241","1241","AR465_00680","M48_00155","NRS1_00110","P10_00632","R50_00110","V521_00198"
"rocD2_1","","Ornithine aminotransferase 2","6","6","1","1","880","","","","1184","1184","1184","AR465_00682","M48_00157","NRS1_00112","P10_00630","R50_00112","V521_00200"
"ipdC","","Indole-3-pyruvate decarboxylase","6","6","1","1","877","","","","1640","1640","1640","AR465_00685","M48_00160","NRS1_00115","P10_00627","R50_00115","V521_00203"
"group_393","","hypothetical protein","6","6","1","1","2806","","","","281","281","281","AR465_00691","M48_00169","NRS1_00121","P10_00621","R50_00121","V521_00210"
"ggt","","Glutathione hydrolase proenzyme","6","6","1","1","2825","","","","2006","2006","2006","AR465_00707","M48_00177","NRS1_00130","P10_00605","R50_00130","V521_00217"
"gfo","","Glucose--fructose oxidoreductase","6","6","1","1","2832","","","","1076","1076","1076","AR465_00715","M48_00184","NRS1_00138","P10_00597","R50_00138","V521_00224"
"scn_1","","Staphylococcal complement inhibitor","6","6","1","1","2843","","","","344","344","344","AR465_00727","M48_00195","NRS1_00149","P10_00586","R50_00149","V521_00235"
"tarK","","Teichoic acid ribitol-phosphate polymerase TarK","6","6","1","1","2871","","","","1694","1694","1694","AR465_00751","M48_00220","NRS1_00173","P10_00562","R50_00173","V521_00261"
"scdA","","Iron-sulfur cluster repair protein ScdA","6","6","1","1","2877","","","","674","674","674","AR465_00757","M48_00226","NRS1_00179","P10_00556","R50_00179","V521_00267"
"group_400","","hypothetical protein","6","6","1","1","2898","","","","1166","1166","1166","AR465_00776","M48_00246","NRS1_00200","P10_00537","R50_00200","V521_00287"
"group_403","","hypothetical protein","6","6","1","1","2927","","","","218","218","218","AR465_00793","M48_00263","NRS1_00216","P10_00520","R50_00216","V521_00304"
"group_405","","hypothetical protein","6","6","1","1","2933","","","","311","374","353","AR465_00799","M48_00274","NRS1_00222","P10_00514","R50_00222","V521_00316"
"group_407","","putative oxidoreductase","6","6","1","1","2776","","","","1199","1214","1204","AR465_00818","M48_00361","NRS1_00241","P10_00495","R50_00241","V521_00399"
"group_408","","Protein-ADP-ribose hydrolase","6","6","1","1","2773","","","","800","800","800","AR465_00821","M48_00364","NRS1_00244","P10_00492","R50_00244","V521_00402"
"group_409","","Lipoate--protein ligase 2","6","6","1","1","2771","","","","1022","1022","1022","AR465_00823","M48_00366","NRS1_00246","P10_00490","R50_00246","V521_00404"
"mhqA_1","","Putative ring-cleaving dioxygenase MhqA","6","6","1","1","2760","","","","926","926","926","AR465_00834","M48_00376","NRS1_00256","P10_00480","R50_00256","V521_00414"
"btuD_1","","Vitamin B12 import ATP-binding protein BtuD","6","6","1","1","2747","","","","842","842","842","AR465_00847","M48_00390","NRS1_00269","P10_00467","R50_00269","V521_00428"
"mscS","","Small-conductance mechanosensitive channel","6","6","1","1","2737","","","","881","881","881","AR465_00857","M48_00400","NRS1_00279","P10_00457","R50_00279","V521_00438"
"group_414","","hypothetical protein","6","6","1","1","2736","","","","203","203","203","AR465_00858","M48_00401","NRS1_00280","P10_00456","R50_00280","V521_00439"
"selX","","Enterotoxin-like toxin X","6","6","1","1","2727","","","","611","611","611","AR465_00865","M48_00409","NRS1_00289","P10_00449","R50_00289","V521_00448"
"group_416","","hypothetical protein","6","6","1","1","2725","","","","368","368","368","AR465_00866","M48_00410","NRS1_00291","P10_00448","R50_00291","V521_00449"
"group_417","","hypothetical protein","6","6","1","1","584","","","","251","254","252","AR465_00869","M48_00413","NRS1_00294","P10_00445","R50_00294","V521_00452"
"nfrA","","NADPH-dependent oxidoreductase","6","6","1","1","592","","","","755","806","772","AR465_00877","M48_00420","NRS1_00302","P10_00437","R50_00302","V521_00459"
"group_419","","hypothetical protein","6","6","1","1","597","","","","407","407","407","AR465_00882","M48_00424","NRS1_00306","P10_00433","R50_00306","V521_00463"
"group_420","","hypothetical protein","6","6","1","1","571","","","","152","152","152","AR465_00914","M48_00463","NRS1_00320","P10_00425","R50_00320","V521_00502"
